hash,name,hash_hex
function_21bbe70d,spawn_apothicon_fury,0x21bbe70d
function_2bd571b9,watch_idgun_impact,0x2bd571b9
function_2dc19561,__init__sytem__,0x2dc19561
var_12fcda98,w_microwavegun,0x12fcda98
var_16e90d5f,w_bow_storm,0x16e90d5f
var_1a828a16,w_bow_base_charged,0x1a828a16
var_30611368,w_bow_wolf_howl_charged,0x30611368
var_361e9031,w_mirg2000_up_2,0x361e9031
var_4f241554,w_one_inch_punch_fire,0x4f241554
var_5736548e,w_microwavegundw_upgraded,0x5736548e
var_590c486e,w_one_inch_punch_lightning,0x590c486e
var_5c210a9a,w_mirg2000_up_1,0x5c210a9a
var_5d4538da,w_bow_storm_charged,0x5d4538da
var_5e75629a,w_mirg2000,0x5e75629a
var_5fc3c5c7,one_inch_punch_flag_has_been_init,0x5fc3c5c7
var_653c9585,w_one_inch_punch,0x653c9585
var_6ae86bb,w_microwavegun_upgraded,0x6ae86bb
var_75ef78a0,w_one_inch_punch_upgraded,0x75ef78a0
var_791ba87b,w_bow_rune_prison_charged,0x791ba87b
var_7d656fe9,w_mirg2000_2,0x7d656fe9
var_7ee63f72,riotshield_knockdown_func,0x7ee63f72
var_9353b68a,rumbled,0x9353b68a
var_99f2368e,w_controllable_spider,0x99f2368e
var_9c43352b,w_microwavegundw,0x9c43352b
var_9d7b544c,w_one_inch_punch_flourish,0x9d7b544c
var_9ff8b6fb,riotshield_death,0x9ff8b6fb
var_a367ea52,w_mirg2000_1,0xa367ea52
var_a4052592,w_mirg2000_up,0xa4052592
var_af96dd85,w_one_inch_punch_ice,0xaf96dd85
var_b37dabd2,str_punch_element,0xb37dabd2
var_be94cdb,w_bow_base,0xbe94cdb
var_c92b3b33,weaponbgbuse,0xc92b3b33
var_e106fba5,w_bow_demongate_charged,0xe106fba5
var_e27d2514,w_one_inch_punch_air,0xe27d2514
var_e93874ed,w_bow_wolf_howl,0xe93874ed
var_ecd0c077,a_demongate_chompers,0xecd0c077
var_edf1e590,w_bow_demongate,0xedf1e590
var_ee516197,w_one_inch_punch_flourish_upgraded,0xee516197
var_fb620116,w_bow_rune_prison,0xfb620116
